n,date,day-week,day-month,val,weekend,holiday,sequia,,,,,,,,,,,,,,,,,
285,12/10/2007,viernes,12,1811.47,0,0,0,,,,,,,,,,,,,,,,,
286,13/10/2007,sábado,13,1868.83,1,0,0,,,,,,,,,,,,,,,,,
287,14/10/2007,domingo,14,1748.21,1,0,0,,,,,,,,,,,,,,,,,
288,15/10/2007,lunes,15,2014.83,0,0,0,,,,,,,,,,,,,,,,,
289,16/10/2007,martes,16,1997.05,0,0,0,,,,,,,,,,,,,,,,,
290,17/10/2007,miércoles,17,1935.27,0,0,0,,,,,,,,,,,,,,,,,
291,18/10/2007,jueves,18,1924.24,0,0,0,,,,,,,,,,,,,,,,,
292,19/10/2007,viernes,19,1932.60,0,0,0,,,,,,,,,,,,,,,,,
293,20/10/2007,sábado,20,1836.80,1,0,0,,,,,,,,,,,,,,,,,
294,21/10/2007,domingo,21,1774.61,1,0,0,,,,,,,,,,,,,,,,,
295,22/10/2007,lunes,22,1930.67,0,0,0,,,,,,,,,,,,,,,,,
296,23/10/2007,martes,23,1916.28,0,0,0,,,,,,,,,,,,,,,,,
297,24/10/2007,miércoles,24,1952.93,0,0,0,,,,,,,,,,,,,,,,,
298,25/10/2007,jueves,25,1930.22,0,0,0,,,,,,,,,,,,,,,,,
299,26/10/2007,viernes,26,2001.96,0,0,0,,,,,,,,,,,,,,,,,
300,27/10/2007,sábado,27,1945.75,1,0,0,,,,,,,,,,,,,,,,,
301,28/10/2007,domingo,28,1788.01,1,0,0,,,,,,,,,,,,,,,,,
302,29/10/2007,lunes,29,2176.06,0,0,0,,,,,,,,,,,,,,,,,
303,30/10/2007,martes,30,1994.35,0,0,0,,,,,,,,,,,,,,,,,
304,31/10/2007,miércoles,31,1938.58,0,0,0,,,,,,,,,,,,,,,,,
305,1/11/2007,jueves,1,1878.35,0,0,0,,,,,,,,,,,,,,,,,
306,2/11/2007,viernes,2,1802.95,0,1,0,,,,,,,,,,,,,,,,,
307,3/11/2007,sábado,3,1762.04,1,1,0,,,,,,,,,,,,,,,,,
308,4/11/2007,domingo,4,1720.71,1,0,0,,,,,,,,,,,,,,,,,
309,5/11/2007,lunes,5,1921.31,0,0,0,,,,,,,,,,,,,,,,,
310,6/11/2007,martes,6,2032.04,0,0,0,,,,,,,,,,,,,,,,,
311,7/11/2007,miércoles,7,1844.18,0,0,0,,,,,,,,,,,,,,,,,
312,8/11/2007,jueves,8,1992.00,0,0,0,,,,,,,,,,,,,,,,,
313,9/11/2007,viernes,9,1890.47,0,0,0,,,,,,,,,,,,,,,,,
314,10/11/2007,sábado,10,1921.73,1,0,0,,,,,,,,,,,,,,,,,
315,11/11/2007,domingo,11,1844.75,1,0,0,,,,,,,,,,,,,,,,,
316,12/11/2007,lunes,12,2018.60,0,0,0,,,,,,,,,,,,,,,,,
317,13/11/2007,martes,13,2115.63,0,0,0,,,,,,,,,,,,,,,,,
318,14/11/2007,miércoles,14,2151.29,0,0,0,,,,,,,,,,,,,,,,,
319,15/11/2007,jueves,15,2040.87,0,0,0,,,,,,,,,,,,,,,,,
